北京新闻,rtp/239.3.1.159:8000
北京生活,rtp/239.3.1.117:8000
北京影视,rtp/239.3.1.158:8000
北京文艺,rtp/239.3.1.242:8000
北京体育休闲,rtp/239.3.1.243:8000
北京纪实科教,rtp/239.3.1.115:8000
北京财经,rtp/239.3.1.116:8000
北京国际,rtp/239.3.1.235:8000
北京朝阳,rtp/239.3.1.163:8001
北京密云,rtp/239.3.1.154:8001
北京延庆,rtp/239.3.1.187:8001
北京房山,rtp/239.3.1.96:8001
北京通州,rtp/239.3.1.221:8001
北京门头沟,rtp/239.3.1.59:8001
淘电影,rtp/239.3.1.250:8001
淘剧场,rtp/239.3.1.95:8001
淘娱乐,rtp/239.3.1.100:8001
淘baby,rtp/239.3.1.238:8001
萌宠TV,rtp/239.3.1.102:8001
睛彩竞技,rtp/239.3.1.125:8001
睛彩广场舞,rtp/239.3.1.128:8001
睛彩篮球,rtp/239.3.1.126:8001
睛彩青少,rtp/239.3.1.127:8001
聚鲨环球精选,rtp/239.3.1.160:8001
聚鲨环球精选,rtp/239.3.1.179:8001
IPTV少儿动画,rtp/239.3.1.199:9000
IPTV热播剧场,rtp/239.3.1.194:9020
IPTV经典电影,rtp/239.3.1.195:9024
IPTV魅力时尚,rtp/239.3.1.196:9012
央视网CCTV3,rtp/239.3.1.193:8012
央视网CCTV5,rtp/239.3.1.89:4120
央视网CCTV8,rtp/239.3.1.85:4120
央视网CCTV10,rtp/239.3.1.86:4120
财富天下,rtp/239.3.1.53:9136
IPTV光影,rtp/239.3.1.84:4120
IPTV军事,rtp/239.3.1.76:4120
IPTV军旅剧场,rtp/239.3.1.69:4120
IPTV军旅剧场,rtp/239.3.1.68:4120
IPTV动作影院,rtp/239.3.1.92:4120
IPTV动画,rtp/239.3.1.80:4120
IPTV喜剧剧场,rtp/239.3.1.91:4120
IPTV国学,rtp/239.3.1.77:4120
IPTV地理,rtp/239.3.1.71:4120
IPTV墨宝,rtp/239.3.1.83:4120
IPTV好学生,rtp/239.3.1.81:4120
IPTV家庭影院,rtp/239.3.1.93:4120
IPTV影视,rtp/239.3.1.88:4120
IPTV戏曲,rtp/239.3.1.78:4120
IPTV早教,rtp/239.3.1.79:4120
IPTV星影,rtp/239.3.1.94:4120
IPTV武侠剧场,rtp/239.3.1.90:4120
IPTV武术,rtp/239.3.1.87:4120
IPTV精选,rtp/239.3.1.74:4120
IPTV美人,rtp/239.3.1.73:4120
IPTV美妆,rtp/239.3.1.72:4120
IPTV解密,rtp/239.3.1.75:4120
IPTV都市剧场,rtp/239.3.1.67:4120
IPTV鉴赏,rtp/239.3.1.82:4120
IPTV音乐现场,rtp/239.3.1.70:4120
爱上4K,rtp/239.3.1.236:2000
